,Precision,Recall,Accuracy,F1-score,AUC,Train Ratio,Number of true anomalies,Number of predicted anomalies,True Positives,False Positives,True Negatives,False Negatives
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.001, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 15.16 - Execution Time: 0.7027091979980469",0.00,0.00,0.99,0.00,0.49,0.12,56,1814,0,1814,129074,56
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.005, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 8.32 - Execution Time: 0.7588067054748535",0.00,0.00,0.98,0.00,0.49,0.12,56,2210,0,2210,128678,56
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.01, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 2.99 - Execution Time: 0.6708478927612305",0.00,0.00,0.98,0.00,0.49,0.12,56,2620,0,2620,128268,56
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.05, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 0.6728084087371826",0.00,0.11,0.94,0.00,0.52,0.12,56,7567,6,7561,123327,50
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.1, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 0.7256488800048828",0.00,0.18,0.88,0.00,0.53,0.12,56,15192,10,15182,115706,46
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.15, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 0.8864738941192627",0.00,0.18,0.82,0.00,0.50,0.12,56,23214,10,23204,107684,46
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.001, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 15.16 - Execution Time: 1.7681808471679688",0.00,0.00,0.98,0.00,0.49,0.12,56,1925,0,1925,128963,56
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.005, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 8.32 - Execution Time: 1.7913050651550293",0.00,0.00,0.98,0.00,0.49,0.12,56,2617,0,2617,128271,56
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.01, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 2.99 - Execution Time: 1.9176368713378906",0.00,0.00,0.98,0.00,0.49,0.12,56,3064,0,3064,127824,56
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.05, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 1.6756765842437744",0.00,0.02,0.96,0.00,0.49,0.12,56,4768,1,4767,126121,55
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.1, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 1.509922981262207",0.00,0.02,0.93,0.00,0.48,0.12,56,8509,1,8508,122380,55
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.15, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 2.949983596801758",0.00,0.07,0.89,0.00,0.48,0.12,56,14132,4,14128,116760,52
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.001,
    max_features=1.0, max_samples='auto', n_estimators=50, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.0 - Execution Time: 1.15523362159729",0.00,0.00,1.00,0.00,0.50,0.12,56,0,0,0,130888,56
