,Precision,Recall,Accuracy,F1-score,AUC,Train Ratio,Number of true anomalies,Number of predicted anomalies,True Positives,False Positives,True Negatives,False Negatives
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.001, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 11.78 - Execution Time: 0.09065961837768555",0.00,0.00,0.99,0.00,0.49,0.07,5,362,0,362,25822,5
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.005, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 8.65 - Execution Time: 0.09741401672363281",0.00,0.00,0.98,0.00,0.49,0.07,5,469,0,469,25715,5
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.01, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 6.65 - Execution Time: 0.0901026725769043",0.00,0.00,0.98,0.00,0.49,0.07,5,572,0,572,25612,5
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.05, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 0.09755682945251465",0.00,0.00,0.94,0.00,0.47,0.07,5,1602,0,1602,24582,5
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.1, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 0.1038205623626709",0.00,0.00,0.89,0.00,0.44,0.07,5,2886,0,2886,23298,5
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.15, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 0.0969839096069336",0.00,0.00,0.83,0.00,0.42,0.07,5,4318,0,4318,21866,5
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.001, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 11.77 - Execution Time: 0.18097472190856934",0.00,0.00,0.98,0.00,0.49,0.07,5,442,0,442,25742,5
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.005, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 8.64 - Execution Time: 0.1918952465057373",0.00,0.00,0.97,0.00,0.49,0.07,5,752,0,752,25432,5
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.01, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 6.64 - Execution Time: 0.16356182098388672",0.00,0.00,0.97,0.00,0.48,0.07,5,859,0,859,25325,5
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.05, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 0.16640686988830566",0.00,0.00,0.96,0.00,0.48,0.07,5,1170,0,1170,25014,5
