,Precision,Recall,Accuracy,F1-score,AUC,Train Ratio,Number of true anomalies,Number of predicted anomalies,True Positives,False Positives,True Negatives,False Negatives
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.005, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 2.05 - Execution Time: 1.8436219692230225",0.00,0.00,0.99,0.00,0.50,0.50,56,694,0,694,130194,56
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.01, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 1.37 - Execution Time: 2.671596050262451",0.00,0.00,0.99,0.00,0.50,0.50,56,1301,0,1301,129587,56
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.05, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 3.178720235824585",0.00,0.05,0.94,0.00,0.50,0.50,56,7783,3,7780,123108,53
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.1, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 3.460066795349121",0.00,0.16,0.88,0.00,0.52,0.50,56,15941,9,15932,114956,47
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.15, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 1.7763798236846924",0.00,0.25,0.82,0.00,0.53,0.50,56,24114,14,24100,106788,42
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.005, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 1.98 - Execution Time: 3.5121262073516846",0.00,0.00,0.99,0.00,0.50,0.50,56,1026,0,1026,129862,56
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.01, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 1.13 - Execution Time: 2.9547431468963623",0.00,0.00,0.99,0.00,0.49,0.50,56,1624,0,1624,129264,56
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.05, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 2.7764155864715576",0.00,0.09,0.95,0.00,0.52,0.50,56,7031,5,7026,123862,51
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.1, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 2.9040117263793945",0.00,0.16,0.89,0.00,0.52,0.50,56,14839,9,14830,116058,47
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.15, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 2.8539798259735107",0.00,0.21,0.83,0.00,0.52,0.50,56,22878,12,22866,108022,44
