,Precision,Recall,Accuracy,F1-score,AUC,Train Ratio,Number of true anomalies,Number of predicted anomalies,True Positives,False Positives,True Negatives,False Negatives
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.001, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 13.84 - Execution Time: 1.1032512187957764",0.00,0.00,1.00,0.00,0.50,0.80,14,183,0,183,52181,14
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.005, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 1.61 - Execution Time: 1.1354098320007324",0.00,0.00,0.99,0.00,0.50,0.80,14,401,0,401,51963,14
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.01, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 0.87 - Execution Time: 1.1640632152557373",0.00,0.00,0.99,0.00,0.49,0.80,14,584,0,584,51780,14
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.05, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 1.0896894931793213",0.00,0.00,0.95,0.00,0.47,0.80,14,2803,0,2803,49561,14
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.1, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 1.098027229309082",0.00,0.29,0.89,0.00,0.59,0.80,14,6006,4,6002,46362,10
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.15, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 1.080798625946045",0.00,0.29,0.82,0.00,0.55,0.80,14,9634,4,9630,42734,10
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.001, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 22.65 - Execution Time: 1.572094202041626",0.00,0.00,0.99,0.00,0.50,0.80,14,340,0,340,52024,14
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.005, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 2.45 - Execution Time: 1.731177806854248",0.00,0.00,0.99,0.00,0.49,0.80,14,630,0,630,51734,14
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.01, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 0.84 - Execution Time: 1.6786749362945557",0.00,0.00,0.98,0.00,0.49,0.80,14,876,0,876,51488,14
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.05, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 1.598310947418213",0.00,0.00,0.94,0.00,0.47,0.80,14,3120,0,3120,49244,14
